Alerta;07:34:09;07:54:00
Quieto;07:54:00;08:06:00
Alerta;08:06:00;08:16:10
Ativo;08:16:10;08:17:14
Alerta;08:17:14;09:00:00
Quieto;09:00:00;09:15:59
Alerta;09:15:59;09:18:56
Quieto/PC;09:18:56;09:24:07
REM;09:24:07;09:24:33
Quieto/PC;09:24:33;09:26:20
Quieto/MMD;09:26:20;09:26:35
Quieto/PC;09:26:35;09:30:05
Quieto/MME;09:30:05;09:30:15
Quieto/PC;09:30:15;09:32:27
Quieto/MME;09:32:27;09:32:48
Quieto/PC;09:32:48;09:34:58
Quieto/MME;09:34:58;09:35:15
Quieto/PC;09:35:15;09:42:06
Alerta;09:42:06;09:42:29
Quieto/PC;09:42:29;09:42:57
Quieto/PC;09:42:57;09:43:13
Quieto/MMD;09:43:13;09:43:18
Quieto/PC;09:43:18;09:44:39
Quieto/MMD;09:44:39;09:44:55
Quieto/PC;09:44:55;09:45:59
