Active;12:55:34;13:55:51
Alert;13:55:51;13:57:53
QHH;13:57:53;13:57:58
Active;13:57:58;13:59:19
Alert;13:59:19;14:04:43
Active;14:04:43;14:05:44
QOP;14:05:44;14:08:57
Alert;14:08:57;14:24:14
QOP;14:24:14;14:24:41
QHH;14:24:41;14:24:53
QOP;14:24:53;14:25:45
QHH;14:25:45;14:25:57
QOP;14:25:57;14:28:08
Long SWS-like;14:28:08;14:35:29
QHH;14:35:29;14:35:36
Short SWS-like;14:35:36;14:37:37
QHH;14:37:37;14:37:42
Short SWS-like;14:37:42;14:39:58
QHH;14:39:58;14:40:13
Long SWS-like;14:40:13;14:55:09
REM-like;14:55:09;14:55:32
Alert;14:55:32;14:56:15
Long SWS-like;14:56:15;15:02:45
QHH;15:02:45;15:03:02
Short SWS-like;15:03:02;15:03:47
QHH;15:03:47;15:05:01
Long SWS-like;15:05:01;15:22:55
QHH;15:22:55;15:23:05
Short SWS-like;15:23:05;15:28:46
REM-like;15:28:46;15:29:06
Alert;15:29:06;15:29:36
Long SWS-like;15:29:36;15:41:50
QHH;15:41:50;15:41:54
Short SWS-like;15:41:54;15:45:48
QHH;15:45:48;15:46:06
Long SWS-like;15:46:06;15:53:17
QHH;15:53:17;15:53:31
Short SWS-like;15:53:31;15:59:16
REM-like;15:59:16;15:59:39
Alert;15:59:39;16:00:06
Short SWS-like;16:00:06;16:02:57
Alert;16:02:57;16:03:45
Long SWS-like;16:03:45;16:24:59
Alert;16:24:59;16:26:48
Short SWS-like;16:26:48;16:29:21
REM-like;16:29:21;16:29:47
Alert;16:29:47;16:30:32
Short SWS-like;16:30:32;16:35:16
QHH;16:35:16;16:35:25
Long SWS-like;16:35:25;16:42:03
QHH;16:42:03;16:42:21
Short SWS-like;16:42:21;16:46:15
QHH;16:46:15;16:46:27
Short SWS-like;16:46:27;16:49:10
Alert;16:49:10;16:57:38
QHH;16:57:38;16:57:44
QHH;16:57:44;16:57:49
Alert;16:57:49;16:59:23
Short SWS-like;16:59:23;17:00:03
QHH;17:00:03;17:00:12
Alert;17:00:12;17:11:53
QOP;17:11:53;17:12:56
QHH;17:12:56;17:13:16
QOP;17:13:16;17:18:08
Alert;17:18:08;17:23:53
Long SWS-like;17:23:53;17:30:55
Alert;17:30:55;17:39:17
