Alert;05:50:00;05:56:30
QOP;05:56:30;06:01:00
Short SWS-like;06:01:00;06:05:10
QHH;06:05:10;06:05:17
Long SWS-like;06:05:17;06:13:30
Alert;06:13:30;06:19:00
QOP;06:19:00;06:23:49
QHH;06:23:49;06:23:55
QOP;06:23:55;06:27:40
Long SWS-like;06:27:40;06:38:08
REM-like;06:38:08;06:38:50
Alert;06:38:50;06:39:45
QOP;06:39:45;06:43:10
QHH;06:43:10;06:43:14
QOP;06:43:14;06:47:15
QHH;06:47:15;06:47:21
QOP;06:47:21;06:56:10
Alert;06:56:10;07:06:49
Active;07:22:28;07:23:35
Alert;07:23:35;07:25:53
QHH;07:25:53;07:26:06
Active;07:26:06;07:27:47
Alert;07:27:47;07:29:10
Active;07:29:10;07:32:40
QOP;07:32:40;07:39:11
QHH;07:39:11;07:39:16
QOP;07:39:16;07:42:13
Active;07:42:13;07:44:00
QOP;07:44:00;07:44:35
QHH;07:44:35;07:44:44
QOP;07:44:44;07:48:27
QHH;07:48:27;07:48:32
QOP;07:48:32;07:50:42
Alert;07:50:42;07:53:00
QOP;07:53:00;07:55:20
Long SWS-like;07:55:20;08:15:31
REM-like;08:15:31;08:16:20
QOP;08:16:20;08:16:41
Alert;08:16:41;08:19:30
Long SWS-like;08:19:30;08:51:51
REM-like;08:51:51;08:52:50
QOP;08:52:50;08:53:16
Alert;08:53:16;08:54:08
QOP;08:54:08;09:07:00
Long SWS-like;09:07:00;09:28:19
REM-like;09:28:19;09:29:20
QOP;09:29:20;09:29:47
Alert;09:29:47;09:30:00
QOP;09:30:00;09:44:14
QHH;09:44:14;09:44:21
QOP;09:44:21;10:04:47
REM-like;10:04:47;10:06:00
Alert;10:06:00;10:08:10
QOP;10:08:10;10:12:06
Active;10:12:06;10:12:44
Alert;10:12:44;10:17:37
QOP;10:17:37;10:18:08
QHH;10:18:08;10:18:12
QOP;10:18:12;10:27:52
Long SWS-like;10:27:52;10:50:08
REM-like;10:50:08;10:50:55
Short SWS-like;10:50:55;10:50:59
Alert;10:50:59;10:59:54
QHH;10:59:54;11:00:00
QOP;11:00:00;11:03:29
QHH;11:03:29;11:03:39
QOP;11:03:39;11:15:34
Long SWS-like;11:15:34;11:26:58
REM-like;11:26:58;11:27:51
Short SWS-like;11:27:51;11:28:07
Alert;11:28:07;11:29:00
QOP;11:29:00;11:35:28
QHH;11:35:28;11:35:37
QOP;11:35:37;11:42:45
QHH;11:42:45;11:42:57
QOP;11:42:57;11:56:11
Long SWS-like;11:56:11;12:02:27
REM-like;12:02:27;12:03:26
Short SWS-like;12:03:26;12:03:38
Alert;12:03:38;12:07:30
QOP;12:07:30;12:13:45
Alert;12:13:45;12:16:20
QOP;12:16:20;12:22:51
QHH;12:22:51;12:23:07
QOP;12:23:07;12:32:00
Long SWS-like;12:32:00;12:39:17
REM-like;12:39:17;12:40:14
Short SWS-like;12:40:14;12:40:35
Alert;12:40:35;12:42:40
QOP;12:42:40;12:42:47
QHH;12:42:47;12:42:59
QOP;12:42:59;12:44:48
QHH;12:44:48;12:45:15
QOP;12:45:15;12:45:37
QHH;12:45:37;12:45:59
QOP;12:45:59;13:22:50
Alert;13:22:50;13:26:20
QOP;13:26:20;13:27:02
QHH;13:27:02;13:27:25
QOP;13:27:25;13:29:10
Alert;13:29:10;13:29:52
QOP;13:29:52;14:00:45
Alert;14:00:45;14:05:00
