Alert;05:50:00;05:57:23
QOP;05:57:23;05:57:59
QHH;05:57:59;05:58:03
QOP;05:58:03;05:59:02
QHH;05:59:02;05:59:09
QOP;05:59:09;06:06:16
Alert;06:06:16;06:16:00
QOP;06:16:00;06:18:00
QHH;06:18:00;06:18:10
QOP;06:18:10;06:25:28
QHH;06:25:28;06:25:32
QOP;06:25:32;06:31:04
QHH;06:31:04;06:31:06
QOP;06:31:06;06:35:54
QHH;06:35:54;06:36:05
QOP;06:36:05;06:38:12
Alert;06:38:12;06:39:00
QOP;06:39:00;06:44:11
OEM;06:44:11;06:45:12
Long SWS-like;06:45:12;06:52:24
REM-like;06:52:24;06:52:53
Alert;06:52:53;06:53:00
Long SWS-like;06:53:00;07:00:48
QHH;07:00:48;07:00:52
QOP;07:00:52;07:00:58
Long SWS-like;07:00:58;07:22:28
REM-like;07:22:28;07:22:54
Short SWS-like;07:22:54;07:23:12
Alert;07:23:12;07:24:00
QOP;07:24:00;07:26:51
QHH;07:26:51;07:27:02
Short SWS-like;07:27:02;07:29:50
QHH;07:29:50;07:30:00
Short SWS-like;07:30:00;07:31:10
Alert;07:31:10;07:37:54
Active;07:37:54;07:38:25
QOP;07:38:25;07:39:59
QHH;07:39:59;07:40:15
Short SWS-like;07:40:15;07:40:22
Alert;07:40:22;07:43:20
QHH;07:43:20;07:43:26
Short SWS-like;07:43:26;07:44:07
QHH;07:44:07;07:44:21
Short SWS-like;07:44:21;07:45:06
QHH;07:45:06;07:45:09
Short SWS-like;07:45:09;07:47:41
QHH;07:47:41;07:47:52
QOP;07:47:52;07:48:30
Short SWS-like;07:48:30;07:50:38
QHH;07:50:38;07:50:51
Short SWS-like;07:50:51;07:56:47
QHH;07:56:47;07:56:51
Long SWS-like;07:56:51;08:03:00
Alert;08:03:00;08:07:50
Short SWS-like;08:07:50;08:08:10
QHH;08:08:10;08:08:14
Long SWS-like;08:08:14;08:18:45
Alert;08:18:45;08:20:20
QOP;08:20:20;08:21:00
Short SWS-like;08:21:00;08:25:03
REM-like;08:25:03;08:25:44
Alert;08:25:44;08:26:18
Short SWS-like;08:26:18;08:29:03
QHH;08:29:03;08:29:08
QOP;08:29:08;08:30:45
Alert;08:30:45;08:33:00
Long SWS-like;08:33:00;08:39:52
QHH;08:39:52;08:40:01
Long SWS-like;08:40:01;08:47:39
QHH;08:47:39;08:47:48
Long SWS-like;08:47:48;08:59:07
REM-like;08:59:07;08:59:50
Alert;08:59:50;09:00:08
Long SWS-like;09:00:08;09:12:13
QHH;09:12:13;09:12:21
Short SWS-like;09:12:21;09:13:51
QHH;09:13:51;09:14:00
Long SWS-like;09:14:00;09:33:59
REM-like;09:33:59;09:34:40
Long SWS-like;09:34:40;09:45:00
QHH;09:45:00;09:45:08
Short SWS-like;09:45:08;09:49:49
QHH;09:49:49;09:50:02
Long SWS-like;09:50:02;10:09:25
REM-like;10:09:25;10:10:15
Alert;10:10:15;10:11:08
Long SWS-like;10:11:08;10:21:36
QHH;10:21:36;10:21:38
Long SWS-like;10:21:38;10:44:38
REM-like;10:44:38;10:45:25
Short SWS-like;10:45:25;10:45:35
Alert;10:45:35;10:47:00
QOP;10:47:00;10:50:01
Alert;10:50:01;10:54:33
QOP;10:54:33;10:55:50
QHH;10:55:50;10:55:57
Alert;10:55:57;10:57:26
QHH;10:57:26;10:57:34
QOP;10:57:34;10:59:20
Alert;10:59:20;11:01:05
QHH;11:01:05;11:01:09
Alert;11:01:09;11:01:43
QHH;11:01:43;11:02:01
Alert;11:02:01;11:05:00
QOP;11:05:00;11:09:22
QHH;11:09:22;11:09:43
QOP;11:09:43;11:28:26
Short SWS-like;11:28:26;11:31:41
REM-like;11:31:41;11:32:22
Alert;11:32:22;11:33:13
QOP;11:33:13;11:39:06
Short SWS-like;11:39:06;11:40:35
QHH;11:40:35;11:40:46
QOP;11:40:46;11:54:00
Short SWS-like;11:54:00;11:57:50
QHH;11:57:50;11:57:56
Short SWS-like;11:57:56;11:58:54
Alert;11:58:54;11:59:50
