Alert;14:42:12;14:43:51
QOP;14:43:51;14:49:19
REM-like;14:49:19;14:49:48
Alert;14:49:48;15:06:11
QHH;15:06:11;15:06:18
Alert;15:06:18;15:15:10
QHH;15:15:10;15:15:20
Alert;15:15:20;15:46:15
QOP;15:46:15;15:50:34
REM-like;15:50:34;15:51:26
Alert;15:51:26;16:02:16
Active;16:02:16;16:04:10
Alert;16:04:10;16:22:36
QOP;16:22:36;16:23:30
QHH;16:23:30;16:23:39
QOP;16:23:39;16:25:28
QHH;16:25:28;16:25:36
Alert;16:25:36;16:37:34
Active;16:37:34;16:38:33
Alert;16:38:33;16:43:57
QHH;16:43:57;16:44:17
QOP;16:44:17;16:45:28
QHH;16:45:28;16:45:45
QOP;16:45:45;17:19:22
REM-like;17:19:22;17:20:14
Alert;17:20:14;17:22:44
QHH;17:22:44;17:22:53
QOP;17:22:53;17:25:41
Alert;17:25:41;17:32:29
QHH;17:32:29;17:32:39
QOP;17:32:39;17:34:28
QHH;17:34:28;17:34:39
QOP;17:34:39;17:36:08
QHH;17:36:08;17:36:16
Alert;17:36:16;17:38:47
QHH;17:38:47;17:38:53
Alert;17:38:53;17:41:22
QHH;17:41:22;17:41:42
Alert;17:41:42;17:49:51
Active;17:49:51;17:50:00
