Alerta;00:01:04;;06:53:56;06:55:00
Ativo;00:03:41;;06:55:00;06:58:41
Alerta;00:02:19;;06:58:41;07:01:00
Quieto;00:03:13;;07:01:00;07:04:13
QMMD;00:00:07;;07:04:13;07:04:20
Quieto;00:00:43;;07:04:20;07:05:03
QMME;00:00:12;;07:05:03;07:05:15
Quieto;00:02:46;;07:05:15;07:08:01
QMME;00:00:04;;07:08:01;07:08:05
Quieto;00:00:24;;07:08:05;07:08:29
Alerta;00:01:30;;07:08:29;07:09:59
Quieto;00:00:21;;07:09:59;07:10:20
QMME;00:00:03;;07:10:20;07:10:23
Quieto;00:00:30;;07:10:23;07:10:53
QMMD;00:00:02;;07:10:53;07:10:55
Quieto;00:00:46;;07:10:55;07:11:41
QMME;00:00:03;;07:11:41;07:11:44
Quieto;00:00:01;;07:11:44;07:11:45
QMME;00:00:18;;07:11:45;07:12:03
Quieto;00:03:04;;07:12:03;07:15:07
QMME;00:00:04;;07:15:07;07:15:11
Quieto;00:04:15;;07:15:11;07:19:26
QMMD;00:00:04;;07:19:26;07:19:30
Alerta;00:02:20;;07:19:30;07:21:50
Quieto;00:07:41;;07:21:50;07:29:31
REM;00:00:26;;07:29:31;07:29:57
Quieto;00:00:05;;07:29:57;07:30:02
Alerta;00:00:58;;07:30:02;07:31:00
Quieto;00:04:08;;07:31:00;07:35:08
Quieto;00:00:11;;07:35:08;07:35:19
Quieto;00:17:52;;07:35:19;07:53:11
QMMD;00:00:05;;07:53:11;07:53:16
Quieto;00:05:08;;07:53:16;07:58:24
REM;00:00:41;;07:58:24;07:59:05
Alerta;00:00:53;;07:59:05;07:59:58
Quieto;00:01:04;;07:59:58;08:01:02
Alerta;00:00:29;;08:01:02;08:01:31
Alerta;00:03:46;;08:01:31;08:05:17
QMMD;00:00:04;;08:05:17;08:05:21
Quieto;00:00:54;;08:05:21;08:06:15
QMMD;00:00:10;;08:06:15;08:06:25
Quieto;00:00:23;;08:06:25;08:06:48
QMMD;00:00:17;;08:06:48;08:07:05
Quieto;00:01:05;;08:07:05;08:08:10
QMME;00:00:02;;08:08:10;08:08:12
Quieto;00:01:15;;08:08:12;08:09:27
QMMD;00:00:01;;08:09:27;08:09:28
Quieto;00:01:13;;08:09:28;08:10:41
REME;00:00:33;;08:10:41;08:11:14
Alerta;00:03:56;;08:11:14;08:15:10
QMME;00:00:04;;08:15:10;08:15:14
Quieto;00:00:35;;08:15:14;08:15:49
QMME;00:00:12;;08:15:49;08:16:01
Alerta;00:01:24;;08:16:01;08:17:25
Alerta;00:00:36;;08:17:25;08:18:01
Quieto;00:04:58;;08:18:01;08:22:59
Alerta;00:01:21;;08:22:59;08:24:20
Quieto;00:03:20;;08:24:20;08:27:40
QMMD;00:00:14;;08:27:40;08:27:54
Quieto;00:04:19;;08:27:54;08:32:13
QPC;00:07:32;;08:32:13;08:39:45
REM;00:00:34;;08:39:45;08:40:19
Alerta;00:00:35;;08:40:19;08:40:54
Quieto;00:04:40;;08:40:54;08:45:34
QPC;00:07:11;;08:45:34;08:52:45
QMME;00:00:02;;08:52:45;08:52:47
QPC;00:00:08;;08:52:47;08:52:55
QPC;00:19:38;;08:52:55;09:12:33
REM;00:00:43;;09:12:33;09:13:16
Quieto;00:00:10;;09:13:16;09:13:26
Alerta;00:01:34;;09:13:26;09:15:00
Alerta;00:05:00;;09:15:00;09:20:00
Quieto;00:06:55;;09:20:00;09:26:55
QMME;00:00:11;;09:26:55;09:27:06
Quieto;00:05:40;;09:27:06;09:32:46
QMMD;00:00:11;;09:32:46;09:32:57
Quieto;00:00:49;;09:32:57;09:33:46
QMME;00:00:04;;09:33:46;09:33:50
QPC;00:12:36;;09:33:50;09:46:26
