Ativo;00:06:00;;;05:50:00;05:56:00
Alerta;00:03:00;;;05:56:00;05:59:00
Quieto;00:54:27;;;05:59:00;06:53:27
REM;00:00:53;;;06:53:27;06:54:20
Quieto;00:07:05;;;06:54:20;07:01:25
Alerta;00:07:35;;;07:01:25;07:09:00
Quieto;00:03:00;;;07:09:00;07:12:00
Alerta;00:03:00;;;07:12:00;07:15:00
Ativo;00:07:00;;;07:15:00;07:22:00
Alerta;01:18:29;;;07:22:00;08:40:29
Alerta;00:00:10;;;08:40:29;08:40:39
Alerta;00:30:41;;;08:40:39;09:11:20
Ativo;00:01:50;;;09:11:20;09:13:10
Alerta;00:21:50;;;09:13:10;09:35:00
Ativo;00:02:00;;;09:35:00;09:37:00
Alerta;00:15:04;;;09:37:00;09:52:04
Alerta;00:00:02;;;09:52:04;09:52:06
Alerta;00:40:46;;;09:52:06;10:32:52
Ativo;00:01:08;;;10:32:52;10:34:00
Alerta;00:11:30;;;10:34:00;10:45:30
Quieto;00:00:12;;;10:45:30;10:45:42
QMMD;00:00:08;;;10:45:42;10:45:50
Quieto;00:01:29;;;10:45:50;10:47:19
Alerta;00:01:31;;;10:47:19;10:48:50
Quieto;00:02:05;;;10:48:50;10:50:55
QMME;00:00:11;;;10:50:55;10:51:06
Quieto;00:00:45;;;10:51:06;10:51:51
QMME;00:00:17;;;10:51:51;10:52:08
Quieto;00:01:45;;;10:52:08;10:53:53
QMME;00:00:12;;;10:53:53;10:54:05
Quieto;00:07:15;;;10:54:05;11:01:20
Alerta;00:02:40;;;11:01:20;11:04:00
Quieto;00:08:58;;;11:04:00;11:12:58
QPC;00:04:55;;;11:12:58;11:17:53
REM;00:00:35;;;11:17:53;11:18:28
QPC;00:00:36;;;11:18:28;11:19:04
QPC;00:02:02;;;11:19:04;11:21:06
Quieto;00:20:36;;;11:21:06;11:41:42
QPC;00:11:15;;;11:41:42;11:52:57
REM;00:00:41;;;11:52:57;11:53:38
Alerta;00:00:11;;;11:53:38;11:53:49
Quieto;00:08:04;;;11:53:49;12:01:53
QMME;00:00:08;;;12:01:53;12:02:01
Quieto;00:00:26;;;12:02:01;12:02:27
Alerta;00:12:36;;;12:02:27;12:15:03
Quieto;00:11:56;;;12:15:03;12:26:59
QMMD;00:00:01;;;12:26:59;12:27:00
QMMD;00:00:03;;;12:27:00;12:27:03
Quieto;00:15:13;;;12:27:03;12:42:16
QPC;00:03:18;;;12:42:16;12:45:34
REME;00:00:14;;;12:45:34;12:45:48
REME;00:00:44;;;12:45:48;12:46:32
REME;00:00:14;;;12:46:32;12:46:46
Quieto;00:05:14;;;12:46:46;12:52:00
REME;00:00:16;;;12:52:00;12:52:16
Alerta;00:00:53;;;12:52:16;12:53:09
QPC;00:14:28;;;12:53:09;13:07:37
REM;00:00:26;;;13:07:37;13:08:03
Quieto;00:00:34;;;13:08:03;13:08:37
Alerta;00:00:11;;;13:08:37;13:08:48
Quieto;00:01:13;;;13:08:48;13:10:01
Quieto;00:11:03;;;13:10:01;13:21:04
QMME;00:00:04;;;13:21:04;13:21:08
QMME;00:00:11;;;13:21:08;13:21:19
Quieto;00:17:29;;;13:21:19;13:38:48
REM;00:00:48;;;13:38:48;13:39:36
Quieto;00:02:10;;;13:39:36;13:41:46
QPC;00:34:23;;;13:41:46;14:16:09
REM;00:00:49;;;14:16:09;14:16:58
Alerta;00:01:02;;;14:16:58;14:18:00
Quieto;00:01:39;;;14:18:00;14:19:39
Quieto;00:10:21;;;14:19:39;14:30:00
QPC;00:07:25;;;14:30:00;14:37:25
Ativo;00:03:05;;;14:37:25;14:40:30
Quieto;00:02:51;;;14:40:30;14:43:21
QMME;00:00:06;;;14:43:21;14:43:27
QPC;00:19:21;;;14:43:27;15:02:48
REM;00:00:43;;;15:02:48;15:03:31
Quieto;00:00:12;;;15:03:31;15:03:43
Alerta;00:00:22;;;15:03:43;15:04:05
Quieto;00:03:45;;;15:04:05;15:07:50
Alerta;00:12:10;;;15:07:50;15:20:00
Quieto;00:10:30;;;15:20:00;15:30:30
Alerta;00:01:30;;;15:30:30;15:32:00
Quieto;00:13:58;;;15:32:00;15:45:58
Alerta;00:02:02;;;15:45:58;15:48:00
Quieto;00:12:00;;;15:48:00;16:00:00
QPC;00:08:10;;;16:00:00;16:08:10
REM;00:00:44;;;16:08:10;16:08:54
Alerta;00:00:36;;;16:08:54;16:09:30
Quieto;00:08:20;;;16:09:30;16:17:50
Alerta;00:01:10;;;16:17:50;16:19:00
QMME;00:01:39;;;16:19:00;16:20:39
Quieto;00:01:07;;;16:20:39;16:21:46
QMMD;00:00:08;;;16:21:46;16:21:54
Quieto;00:05:16;;;16:21:54;16:27:10
QMME;00:00:10;;;16:27:10;16:27:20
Quieto;00:06:15;;;16:27:20;16:33:35
QMMD;00:00:04;;;16:33:35;16:33:39
QPC;00:07:35;;;16:33:39;16:41:14
REM;00:00:51;;;16:41:14;16:42:05
Alerta;00:01:35;;;16:42:05;16:43:40
Quieto;00:07:28;;;16:43:40;16:51:08
QMME;00:00:14;;;16:51:08;16:51:22
QPC;00:12:23;;;16:51:22;17:03:45
QMMD;00:00:08;;;17:03:45;17:03:53
Quieto;00:12:13;;;17:03:53;17:16:06
Alerta;00:01:54;;;17:16:06;17:18:00
QPC;00:05:17;;;17:18:00;17:23:17
QMME;00:00:08;;;17:23:17;17:23:25
Quieto;00:09:35;;;17:23:25;17:33:00
Alerta;00:01:00;;;17:33:00;17:34:00
Quieto;00:05:50;;;17:34:00;17:39:50
QMMD;00:00:09;;;17:39:50;17:39:59
Quieto;00:05:21;;;17:39:59;17:45:20
