Alerta;00:03:48;;;;05:50:50;05:54:38
Ativo;00:01:21;;;;05:54:38;05:55:59
Alerta;00:06:51;;;;05:55:59;06:02:50
Quieto;00:08:33;;;;06:02:50;06:11:23
QMME;00:00:05;;;;06:11:23;06:11:28
Quieto;00:01:32;;;;06:11:28;06:13:00
Alerta;00:05:30;;;;06:13:00;06:18:30
Quieto;00:02:26;;;;06:18:30;06:20:56
QMMD;00:00:06;;;;06:20:56;06:21:02
Quieto;00:04:58;;;;06:21:02;06:26:00
QPC;00:10:02;;;;06:26:00;06:36:02
REM;00:00:30;;;;06:36:02;06:36:32
Alerta;00:00:24;;;;06:36:32;06:36:56
Alerta;00:01:04;;;;06:36:56;06:38:00
QPC;00:07:07;;;;06:38:00;06:45:07
QPC;00:07:41;;;;06:45:07;06:52:48
QMME;00:00:08;;;;06:52:48;06:52:56
QPC;00:17:22;;;;06:52:56;07:10:18
REM;00:00:46;;;;07:10:18;07:11:04
Alerta;00:04:26;;;;07:11:04;07:15:30
Quieto;00:12:44;;;;07:15:30;07:28:14
QPC;00:21:20;;;;07:28:14;07:49:34
QPC;00:00:39;;;;07:49:34;07:50:13
REM;00:00:54;;;;07:50:13;07:51:07
Alerta;00:00:33;;;;07:51:07;07:51:40
Alerta;00:01:32;;;;07:51:40;07:53:12
Quieto;00:02:35;;;;07:53:12;07:55:47
QMME;00:00:05;;;;07:55:47;07:55:52
Quieto;00:03:28;;;;07:55:52;07:59:20
QPC;00:06:14;;;;07:59:20;08:05:34
QMMD;00:00:03;;;;08:05:34;08:05:37
QPC;00:03:23;;;;08:05:37;08:09:00
Alerta;00:00:26;;;;08:09:00;08:09:26
Alerta;00:02:34;;;;08:09:26;08:12:00
Quieto;00:08:30;;;;08:12:00;08:20:30
Alerta;00:02:00;;;;08:20:30;08:22:30
Ativo;00:02:30;;;;08:22:30;08:25:00
Quieto;00:12:35;;;;08:25:00;08:37:35
QPC;00:15:22;;;;08:37:35;08:52:57
QPC;00:00:07;;;;08:52:57;08:53:04
REM;00:00:45;;;;08:53:04;08:53:49
QPC;00:00:12;;;;08:53:49;08:54:01
Alerta;00:00:57;;;;08:54:01;08:54:58
QPC;00:13:48;;;;08:54:58;09:08:46
QPC;00:21:14;;;;09:08:46;09:30:00
REM;00:00:55;;;;09:30:00;09:30:55
Alerta;00:00:55;;;;09:30:55;09:31:50
QPC;00:08:16;;;;09:31:50;09:40:06
Alerta;00:04:30;;;;09:40:06;09:44:36
Quieto;00:00:32;;;;09:44:36;09:45:08
QMME;00:00:08;;;;09:45:08;09:45:16
QPC;00:24:14;;;;09:45:16;10:09:30
QPC;00:03:59;;;;10:09:30;10:13:29
REM;00:01:06;;;;10:13:29;10:14:35
Quieto;00:00:12;;;;10:14:35;10:14:47
Alerta;00:00:30;;;;10:14:47;10:15:17
QPC;00:26:42;;;;10:15:17;10:41:59
QMME;00:00:08;;;;10:41:59;10:42:07
QPC;00:08:55;;;;10:42:07;10:51:02
REM;00:01:02;;;;10:51:02;10:52:04
Alerta;00:00:41;;;;10:52:04;10:52:45
