Quieto/PC;00:05:40;05:28:55;05:34:35
Quieto/MME;00:00:07;05:34:35;05:34:42
Quieto;00:10:04;05:34:42;05:44:46
Alerta;00:04:04;05:44:46;05:48:50
Quieto;00:00:14;05:48:50;05:49:04
Quieto/MMD;00:00:07;05:49:04;05:49:11
Quieto/PC;00:10:00;05:49:11;05:59:11
Quieto/PC;00:00:05;05:59:11;05:59:16
Alerta;00:01:15;05:59:16;06:00:31
Ativo;00:02:04;06:00:31;06:02:35
Alerta;00:19:17;06:02:35;06:21:52
Alerta;00:09:23;06:21:52;06:31:15
Alerta/MMD;00:00:18;06:31:15;06:31:33
Alerta;00:04:38;06:31:33;06:36:11
Alerta/MME;00:00:13;06:36:11;06:36:24
Alerta;00:01:52;06:36:24;06:38:16
Alerta/MME;00:00:10;06:38:16;06:38:26
Alerta;00:55:34;06:38:26;07:34:00
Alerta/MMD;00:00:09;07:34:00;07:34:09
Alerta;00:19:51;07:34:09;07:54:00
Quieto;00:12:00;07:54:00;08:06:00
Alerta;00:10:10;08:06:00;08:16:10
Ativo;00:01:04;08:16:10;08:17:14
Alerta;00:42:46;08:17:14;09:00:00
Quieto;00:15:59;09:00:00;09:15:59
Alerta;00:02:57;09:15:59;09:18:56
Quieto/PC;00:05:11;09:18:56;09:24:07
REM;00:00:26;09:24:07;09:24:33
Quieto/PC;00:01:47;09:24:33;09:26:20
Quieto/MMD;00:00:15;09:26:20;09:26:35
Quieto/PC;00:03:30;09:26:35;09:30:05
Quieto/MME;00:00:10;09:30:05;09:30:15
Quieto/PC;00:02:12;09:30:15;09:32:27
Quieto/MME;00:00:21;09:32:27;09:32:48
Quieto/PC;00:02:10;09:32:48;09:34:58
Quieto/MME;00:00:17;09:34:58;09:35:15
Quieto/PC;00:06:51;09:35:15;09:42:06
Alerta;00:00:23;09:42:06;09:42:29
Quieto/PC;00:00:28;09:42:29;09:42:57
Quieto/PC;00:00:16;09:42:57;09:43:13
Quieto/MMD;00:00:05;09:43:13;09:43:18
Quieto/PC;00:01:21;09:43:18;09:44:39
Quieto/MMD;00:00:16;09:44:39;09:44:55
Quieto/PC;00:01:04;09:44:55;09:45:59
Alerta;00:03:29;09:45:59;09:49:28
Alerta;00:08:32;09:49:28;09:58:00
Alerta;00:22:21;09:58:00;10:20:21
Alerta/MMD;00:00:14;10:20:21;10:20:35
Alerta;00:20:23;10:20:35;10:40:58
Alerta;00:42:36;10:40:58;11:23:34
Alerta;00:03:15;11:23:34;11:26:49
Alerta/MME;00:00:34;11:26:49;11:27:23
Alerta;00:16:19;11:27:23;11:43:42
Alerta;00:07:29;11:43:42;11:51:11
Quieto/MMD;00:00:13;11:51:11;11:51:24
Alerta;00:03:11;11:51:24;11:54:35
Ativo;00:00:31;11:54:35;11:55:06
Alerta;00:10:49;11:55:06;12:05:55
Ativo;00:10:00;12:05:55;12:15:55
Quieto;00:04:40;12:15:55;12:20:35
Ativo;00:00:50;12:20:35;12:21:25
Alerta;00:01:06;12:21:25;12:22:31
Alerta/MMD;00:00:02;12:22:31;12:22:33
Alerta;00:00:52;12:22:33;12:23:25
Quieto;00:03:55;12:23:25;12:27:20
Alerta;00:00:20;12:27:20;12:27:40
Alerta;00:01:50;12:27:40;12:29:30
Quieto;00:01:55;12:29:30;12:31:25
Quieto/PC;00:01:00;12:31:25;12:32:25
Alerta;00:01:30;12:32:25;12:33:55
Quieto;00:00:24;12:33:55;12:34:19
Quieto/MME;00:00:03;12:34:19;12:34:22
Quieto/MME;00:00:03;12:34:22;12:34:25
Quieto/PC;00:04:28;12:34:25;12:38:53
Quieto/MMD;00:00:09;12:38:53;12:39:02
Quieto/PC;00:01:23;12:39:02;12:40:25
Alerta;00:02:30;12:40:25;12:42:55
Quieto/PC;00:05:12;12:42:55;12:48:07
Quieto/PC;00:15:02;12:48:07;13:03:09
REM;00:00:14;13:03:09;13:03:23
Quieto;00:00:11;13:03:23;13:03:34
Alerta;00:00:23;13:03:34;13:03:57
Quieto/PC;00:12:37;13:03:57;13:16:34
Quieto/MME;00:00:09;13:16:34;13:16:43
Quieto/PC;00:03:00;13:16:43;13:19:43
Quieto/MMD;00:00:03;13:19:43;13:19:46
Quieto/MMD;00:00:07;13:19:46;13:19:53
Quieto/PC;00:10:00;13:19:53;13:29:53
Quieto/PC;00:01:49;13:29:53;13:31:42
REM;00:00:18;13:31:42;13:32:00
Alerta;00:00:38;13:32:00;13:32:38
Quieto;00:00:40;13:32:38;13:33:18
Quieto/PC;00:12:53;13:33:18;13:46:11
Alerta;00:00:18;13:46:11;13:46:29
Alerta;00:05:03;13:46:29;13:51:32
Quieto;00:01:22;13:51:32;13:52:54
Quieto/MME;00:00:04;13:52:54;13:52:58
Quieto/MME;00:00:06;13:52:58;13:53:04
Quieto;00:00:37;13:53:04;13:53:41
Alerta;00:02:12;13:53:41;13:55:53
Quieto;00:01:45;13:55:53;13:57:38
Quieto/MMD;00:00:05;13:57:38;13:57:43
Quieto/MMD;00:00:08;13:57:43;13:57:51
Quieto;00:01:23;13:57:51;13:59:14
Quieto/MMD;00:00:25;13:59:14;13:59:39
Quieto/PC;00:04:17;13:59:39;14:03:56
Alerta/MME;00:00:14;14:03:56;14:04:10
Quieto;00:06:52;14:04:10;14:11:02
Quieto/PC;00:04:05;14:11:02;14:15:07
Alerta;00:01:59;14:15:07;14:17:06
Quieto;00:06:56;14:17:06;14:24:02
Alerta;00:01:47;14:24:02;14:25:49
Quieto/PC;00:04:48;14:25:49;14:30:37
Quieto/MME;00:00:04;14:30:37;14:30:41
Quieto/MME;00:00:10;14:30:41;14:30:51
Quieto/PC;00:05:29;14:30:51;14:36:20
REM;00:00:21;14:36:20;14:36:41
Alerta;00:00:26;14:36:41;14:37:07
Quieto;00:03:07;14:37:07;14:40:14
Quieto;00:01:05;14:40:14;14:41:19
Quieto/MMD;00:00:04;14:41:19;14:41:23
Quieto;00:04:54;14:41:23;14:46:17
Quieto/PC;00:06:48;14:46:17;14:53:05
Quieto/PC;00:00:11;14:53:05;14:53:16
Quieto;00:00:13;14:53:16;14:53:29
Alerta;00:04:07;14:53:29;14:57:36
Quieto/PC;00:05:56;14:57:36;15:03:32
REM;00:00:19;15:03:32;15:03:51
Alerta;00:01:18;15:03:51;15:05:09
Quieto/PC;00:01:00;15:05:09;15:06:09
Quieto/MME;00:00:13;15:06:09;15:06:22
Quieto/PC;00:02:30;15:06:22;15:08:52
Quieto/MMD;00:00:08;15:08:52;15:09:00
Quieto/MMD;00:00:06;15:09:00;15:09:06
