Alerta;00:03:25;05:28:50;05:32:15
Ativo;00:06:40;05:32:15;05:38:55
Alerta;00:06:53;05:38:55;05:45:48
Quieto;00:04:12;05:45:48;05:50:00
Alerta;00:02:58;05:50:00;05:52:58
Alerta;00:01:02;05:52:58;05:54:00
Ativo;00:02:00;05:54:00;05:56:00
Quieto;00:04:45;05:56:00;06:00:45
Alerta;00:09:00;06:00:45;06:09:45
Quieto;00:09:22;06:09:45;06:19:07
Alerta;00:06:53;06:19:07;06:26:00
Quieto;00:34:00;06:26:00;07:00:00
Alerta;00:12:00;07:00:00;07:12:00
Quieto;00:12:31;07:12:00;07:24:31
Alerta;00:00:29;07:24:31;07:25:00
Alerta;00:13:50;07:25:00;07:38:50
Ativo;00:07:30;07:38:50;07:46:20
Ativo;00:07:40;07:46:20;07:54:00
Alerta;00:04:00;07:54:00;07:58:00
Ativo;00:07:00;07:58:00;08:05:00
Alerta;00:02:19;08:05:00;08:07:19
Ativo;00:01:31;08:07:19;08:08:50
Alerta;00:14:30;08:08:50;08:23:20
Ativo;00:01:10;08:23:20;08:24:30
Alerta;00:03:30;08:24:30;08:28:00
Ativo;00:06:00;08:28:00;08:34:00
Alerta;00:06:54;08:34:00;08:40:54
Ativo;00:02:48;08:40:54;08:43:42
Alerta;00:05:08;08:43:42;08:48:50
Quieto;00:27:55;08:48:50;09:16:45
REM;00:00:20;09:16:45;09:17:05
Alerta;00:00:52;09:17:05;09:17:57
Quieto;00:21:33;09:17:57;09:39:30
REM;00:00:40;09:39:30;09:40:10
Alerta;00:08:10;09:40:10;09:48:20
Quieto;00:22:15;09:48:20;10:10:35
Alerta;00:00:50;10:10:35;10:11:25
Quieto;00:12:41;10:11:25;10:24:06
Alerta;00:01:37;10:24:06;10:25:43
Quieto;00:33:50;10:25:43;10:59:33
Alerta;00:02:13;10:59:33;11:01:46
QMME;00:00:02;11:01:46;11:01:48
Quieto;00:01:01;11:01:48;11:02:49
Alerta;00:01:38;11:02:49;11:04:27
QMMD;00:00:07;11:04:27;11:04:34
QPC;00:01:05;11:04:34;11:05:39
QMME;00:00:11;11:05:39;11:05:50
QPC;00:02:30;11:05:50;11:08:20
QMMD;00:00:17;11:08:20;11:08:37
QPC;00:04:36;11:08:37;11:13:13
Alerta;00:01:27;11:13:13;11:14:40
Ativo;00:00:33;11:14:40;11:15:13
Alerta;00:06:17;11:15:13;11:21:30
AMME;00:00:13;11:21:30;11:21:43
Alerta;00:29:40;11:21:43;11:51:23
Alerta;00:00:24;11:51:23;11:51:47
Alerta;00:08:28;11:51:47;12:00:15
Alerta;00:00:17;12:00:15;12:00:32
Alerta;00:21:34;12:00:32;12:22:06
AMMD;00:00:18;12:22:06;12:22:24
Alerta;00:06:30;12:22:24;12:28:54
AMME;00:00:17;12:28:54;12:29:11
Alerta;00:06:08;12:29:11;12:35:19
AMME;00:00:16;12:35:19;12:35:35
Alerta;00:08:10;12:35:35;12:43:45
Alerta;00:02:57;12:43:45;12:46:42
Alerta;00:36:34;12:46:42;13:23:16
Alerta;00:03:53;13:23:16;13:27:09
Ativo;00:00:40;13:27:09;13:27:49
Alerta;00:09:00;13:27:49;13:36:49
QMME;00:00:07;13:36:49;13:36:56
Alerta;00:01:55;13:36:56;13:38:51
AMME;00:00:21;13:38:51;13:39:12
Alerta;00:09:20;13:39:12;12:48:32
Ativo;00:00:17;12:48:32;13:48:49
Alerta;00:02:02;13:48:49;13:50:51
QMMD;00:00:05;13:50:51;13:50:56
Ativo;00:01:21;13:50:56;13:52:17
Alerta;00:05:24;13:52:17;13:57:41
Ativo;00:01:01;13:57:41;13:58:42
Quieto;00:03:13;13:58:42;14:01:55
Alerta;00:15:17;14:01:55;14:17:12
Quieto;00:00:27;14:17:12;14:17:39
QMME;00:00:03;14:17:39;14:17:42
QMME;00:00:09;14:17:42;14:17:51
Quieto;00:00:52;14:17:51;14:18:43
QMMD;00:00:12;14:18:43;14:18:55
Quieto;00:02:11;14:18:55;14:21:06
QPC;00:07:21;14:21:06;14:28:27
