Alert;;00:03:25;05:29:00;05:32:25
QCP;;00:02:02;05:32:25;05:34:27
Active;;00:03:45;05:34:27;05:38:12
Alert;;00:01:38;05:38:12;05:39:50
Active;;00:01:28;05:39:50;05:41:18
Alert;;00:03:09;05:41:18;05:44:27
Active;;00:10:44;05:44:27;05:55:11
Alert;;00:05:24;05:55:11;06:00:35
Alert;;00:01:22;06:00:35;06:01:57
Active;;00:03:56;06:01:57;06:05:53
Alert;;00:01:53;06:05:53;06:07:46
QHH;;00:00:06;06:07:46;06:07:52
QCP;;00:00:07;06:07:52;06:07:59
QHH;;00:00:12;06:07:59;06:08:11
QCP;;00:00:15;06:08:11;06:08:26
Alert;;00:00:41;06:08:26;06:09:07
QCP;;00:02:54;06:09:07;06:12:01
Alert;;00:00:46;06:12:01;06:12:47
Alert;;00:01:00;06:12:47;06:13:47
QCP;;00:02:35;06:13:47;06:16:22
Alert;;00:00:52;06:16:22;06:17:14
QCP;;00:02:40;06:17:14;06:19:54
Alert;;00:01:38;06:19:54;06:21:32
QCP;;00:03:22;06:21:32;06:24:54
Alert;;00:00:26;06:24:54;06:25:20
QCP;;00:03:41;06:25:20;06:29:01
QHH;;00:00:12;06:29:01;06:29:13
QCP;;00:01:10;06:29:13;06:30:23
QHH;;00:00:16;06:30:23;06:30:39
QCP;;00:00:28;06:30:39;06:31:07
Alert;;00:00:35;06:31:07;06:31:42
Alert;;00:01:19;06:31:42;06:33:01
QCP;;00:04:53;06:33:01;06:37:54
QCP;;00:06:17;06:37:54;06:44:11
QHH;;00:00:05;06:44:11;06:44:16
QCP;;00:01:49;06:44:16;06:46:05
QHH;;00:00:19;06:46:05;06:46:24
QPC;;00:04:29;06:46:24;06:50:53
REM-like;;00:00:19;06:50:53;06:51:12
QCP;;00:00:08;06:51:12;06:51:20
Alert;;00:00:14;06:51:20;06:51:34
QPC;;00:15:58;06:51:34;07:07:32
QPC;;00:00:40;07:07:32;07:08:12
QHH;;00:00:18;07:08:12;07:08:30
QPC;;00:03:32;07:08:30;07:12:02
REM-like;;00:00:33;07:12:02;07:12:35
Alert;;00:00:35;07:12:35;07:13:10
Alert;;00:00:34;07:13:10;07:13:44
Alert;;00:01:31;07:13:44;07:15:15
QCP;;00:00:22;07:15:15;07:15:37
QHH;;00:00:18;07:15:37;07:15:55
QCP;;00:00:08;07:15:55;07:16:03
QHH;;00:00:09;07:16:03;07:16:12
Alert;;00:02:18;07:16:12;07:18:30
Active;;00:02:30;07:18:30;07:21:00
Alert;;00:11:34;07:21:00;07:32:34
Active;;00:02:23;07:32:34;07:34:57
Alert;;00:10:43;07:34:57;07:45:40
Active;;00:02:38;07:45:40;07:48:18
Alert;;00:06:23;07:48:18;07:54:41
Active;;00:01:19;07:54:41;07:56:00
Alert;;00:08:58;07:56:00;08:04:58
Alert;;00:02:18;08:04:58;08:07:16
Active;;00:17:38;08:07:16;08:24:54
Alert;;00:15:09;08:24:54;08:40:03
Active;;00:19:04;08:40:03;08:59:07
Alert;;00:05:11;08:59:07;09:04:18
Active;;00:03:13;09:04:18;09:07:31
Alert;;00:08:19;09:07:31;09:15:50
Active;;00:00:46;09:15:50;09:16:36
Alert;;00:04:24;09:16:36;09:21:00
QCP;;00:02:00;09:21:00;09:23:00
