Alerta;00:01:22;15:14:58;15:16:20
Alerta;00:00:21;15:16:20;15:16:41
Alerta;00:10:43;15:16:41;15:27:24
Quieto;00:00:52;15:27:24;15:28:16
QMMD;00:00:04;15:28:16;15:28:20
Quieto;00:00:22;15:28:20;15:28:42
QMME;00:00:07;15:28:42;15:28:49
Alerta;00:06:35;15:28:49;15:35:24
Quieto;00:00:22;15:35:24;15:35:46
QMME;00:00:21;15:35:46;15:36:07
Alerta;00:07:30;15:36:07;15:43:37
Quieto;00:01:01;15:43:37;15:44:38
QMMD;00:00:06;15:44:38;15:44:44
Quieto;00:01:21;15:44:44;15:46:05
Alerta;00:07:02;15:46:05;15:53:07
Quieto;00:01:15;15:53:07;15:54:22
QMME;00:00:02;15:54:22;15:54:24
QMME;00:00:06;15:54:24;15:54:30
Quieto;00:04:06;15:54:30;15:58:36
Alerta;00:05:28;15:58:36;16:04:04
Ativo;00:00:50;16:04:04;16:04:54
Alerta;00:00:16;16:04:54;16:05:10
Alerta;00:06:00;16:05:10;16:11:10
QPC;00:06:15;16:11:10;16:17:10
QMME;00:00:05;16:17:10;16:23:25
QPC;00:02:37;16:23:25;16:23:30
QMMD;00:00:14;16:23:30;16:26:07
QPC;00:02:12;16:26:07;16:26:21
Alerta;00:08:27;16:26:21;16:28:33
QPC;00:04:47;16:28:33;16:37:00
QMME;00:00:13;16:37:00;16:41:47
QPC;00:03:47;16:41:47;16:42:00
REM;00:00:15;16:42:00;16:45:47
QPC;00:00:16;16:45:47;16:46:02
QPC;00:00:33;16:46:02;16:46:18
Alerta;00:02:00;16:46:18;16:46:51
QPC;00:15:02;16:46:51;16:57:53
QPC;00:00:53;16:57:53;16:58:46
Alerta;00:27:00;16:58:46;17:25:46
