Ativo;00:17:48;;;14:47:38;15:05:26
Alerta;00:05:17;;;15:05:26;15:10:43
QMME;00:00:05;;;15:10:43;15:10:48
Quieto;00:05:12;;;15:10:48;15:16:00
QMME;00:00:12;;;15:16:00;15:16:12
Alerta;00:06:09;;;15:16:12;15:22:21
QMME;00:00:07;;;15:22:21;15:22:28
Quieto;00:00:55;;;15:22:28;15:23:23
Alerta;00:04:27;;;15:23:23;15:27:50
Quieto;00:03:45;;;15:27:50;15:31:35
Alerta;00:03:33;;;15:31:35;15:35:08
Ativo;00:28:05;;;15:35:08;16:03:13
Alerta;00:01:41;;;16:03:13;16:04:54
Quieto;00:00:22;;;16:04:54;16:05:16
QMME;00:00:07;;;16:05:16;16:05:23
Quieto;00:04:57;;;16:05:23;16:10:20
Ativo;00:00:30;;;16:10:20;16:10:50
Alerta;00:01:37;;;16:10:50;16:12:27
AMMD;00:00:06;;;16:12:27;16:12:33
Alerta;00:10:24;;;16:12:33;16:22:57
Ativo;00:02:39;;;16:22:57;16:25:36
Alerta;00:01:32;;;16:25:36;16:27:08
QMMD;00:00:09;;;16:27:08;16:27:17
Quieto;00:01:09;;;16:27:17;16:28:26
Alerta;00:02:09;;;16:28:26;16:30:35
Quieto;00:00:10;;;16:30:35;16:30:45
QMME;00:00:08;;;16:30:45;16:30:53
Quieto;00:01:07;;;16:30:53;16:32:00
Alerta;00:00:40;;;16:32:00;16:32:40
Ativo;00:01:39;;;16:32:40;16:34:19
Alerta;00:06:17;;;16:34:19;16:40:36
Ativo;00:00:30;;;16:40:36;16:41:06
