Alerta;;00:05:23;;;14:14:37;14:20:00
Quieto;;00:10:20;;;14:20:00;14:30:20
Alerta;;00:01:00;;;14:30:20;14:31:20
Quieto;;00:05:43;;;14:31:20;14:37:03
Quieto;;00:00:21;;;14:37:03;14:37:24
Alerta;;00:05:36;;;14:37:24;14:43:00
Quieto;;00:20:37;;;14:43:00;15:03:37
QMMD;;00:00:12;;;15:03:37;15:03:49
Quieto;;00:01:02;;;15:03:49;15:04:51
QMMD;;00:00:03;;;15:04:51;15:04:54
Quieto;;00:11:34;;;15:04:54;15:16:28
REM;;00:00:52;;;15:16:28;15:17:20
Alerta;;00:42:40;;;15:17:20;16:00:00
Quieto;;00:02:00;;;16:00:00;16:02:00
Alerta;;00:01:25;;;16:02:00;16:03:25
Alerta;;00:02:52;;;16:03:25;16:06:17
AMMD;;00:00:14;;;16:06:17;16:06:31
Quieto;;00:05:14;;;16:06:31;16:11:45
QPC;;00:00:31;;;16:11:45;16:12:16
Quieto;;00:05:54;;;16:12:16;16:18:10
Alerta;;00:05:50;;;16:18:10;16:24:00
Quieto;;00:03:43;;;16:24:00;16:27:43
REM;;00:00:35;;;16:27:43;16:28:18
Alerta;;00:01:42;;;16:28:18;16:30:00
Quieto;;00:10:55;;;16:30:00;16:40:55
Alerta;;00:10:08;;;16:40:55;16:51:03
Alerta;;00:01:38;;;16:51:03;16:52:41
Quieto;;00:01:37;;;16:52:41;16:54:18
QMMD;;00:00:25;;;16:54:18;16:54:43
Alerta;;00:03:17;;;16:54:43;16:58:00
Quieto;;00:14:00;;;16:58:00;17:12:00
