Ativo;00:00:40;;;;06:53:54;06:54:34;
Alerta;00:14:39;;;;06:54:34;07:09:13;
Alerta;00:00:18;;;;07:09:13;07:09:31;
Alerta;00:04:12;;;;07:09:31;07:13:43;
Quieto;00:02:10;;;;07:13:43;07:15:53;
QMME;00:00:05;;;;07:15:53;07:15:58;
QPC;00:12:03;;;;07:15:58;07:28:01;
Quieto;00:00:40;;;;07:28:01;07:28:41;
QMMD;00:00:09;;;;07:28:41;07:28:50;
QPC;00:03:42;;;;07:28:50;07:32:32;
QMME;00:00:08;;;;07:32:32;07:32:40;
QPC;00:07:58;;;;07:32:40;07:40:38;
REM;00:00:37;;;;07:40:38;07:41:15;
Quieto;00:01:53;;;;07:41:15;07:43:08;
Alerta;00:00:34;;;;07:43:08;07:43:42;
Ativo;00:01:20;;;;07:43:42;07:45:02;
Alerta;00:01:54;;;;07:45:02;07:46:56;
QMME;00:00:16;;;;07:46:56;07:47:12;
Quieto;00:01:58;;;;07:47:12;07:49:10;
QMMD;00:00:17;;;;07:49:10;07:49:27;
Quieto;00:00:20;;;;07:49:27;07:49:47;
Quieto;00:00:10;;;;07:49:47;07:49:57;
Quieto;00:01:55;;;;07:49:57;07:51:52;
QMME;00:00:07;;;;07:51:52;07:51:59;
Quieto;00:00:39;;;;07:51:59;07:52:38;
QMMD;00:00:15;;;;07:52:38;07:52:53;
Alerta;00:08:36;;;;07:52:53;08:01:29;
QPCN;00:10:57;;;;08:01:29;08:12:26;
REMD;00:00:50;;;;08:12:26;08:13:16;
QPC;00:12:56;;;;08:13:16;08:26:12;
REM;00:00:19;;;;08:26:12;08:26:31;
Quieto;00:02:39;;;;08:26:31;08:29:10;
AMMD;00:00:10;;;;08:29:10;08:29:20;
Quieto;00:13:23;;;;08:29:20;08:42:43;
QMME;00:00:10;;;;08:42:43;08:42:53;
Quieto;00:01:46;;;;08:42:53;08:44:39;
Alerta;00:04:04;;;;08:44:39;08:48:43;
AMMD;00:00:07;;;;08:48:43;08:48:50;
Ativo;00:04:25;;;;08:48:50;08:53:15;
