QMME;;00:00:04;09:29:18;09:29:22
QMME;;00:00:07;09:29:22;09:29:29
Alerta;;00:02:30;09:29:29;09:31:59
QMMD;;00:00:34;09:31:59;09:32:33
QMME;;00:00:17;09:32:33;09:32:50
Quieto;;00:01:41;09:32:50;09:34:31
AMMD;;00:00:07;09:34:31;09:34:38
Ativo;;00:01:22;09:34:38;09:36:00
Ativo;;00:10:20;09:36:00;09:46:20
Quieto;;00:03:36;09:46:20;09:49:56
Ativo;;00:04:24;09:49:56;09:54:20
Quieto;;00:04:51;09:54:20;09:59:11
QMMD;;00:00:03;09:59:11;09:59:14
Quieto;;00:00:43;09:59:14;09:59:57
QMME;;00:00:09;09:59:57;10:00:06
Quieto;;00:03:02;10:00:06;10:03:08
QMME;;00:00:19;10:03:08;10:03:27
Quieto;;00:00:27;10:03:27;10:03:54
QMME;;00:00:21;10:03:54;10:04:15
Quieto;;00:02:21;10:04:15;10:06:36
Alerta;;00:01:24;10:06:36;10:08:00
Ativo;;00:03:59;10:08:00;10:11:59
Alerta;;00:02:16;10:11:59;10:14:15
Ativo;;00:03:05;10:14:15;10:17:20
Alerta;;00:01:20;10:17:20;10:18:40
Alerta;;00:00:25;10:18:40;10:19:05
Alerta;;00:04:17;10:19:05;10:23:22
Ativo;;00:05:46;10:23:22;10:29:08
Alerta;;00:03:52;10:29:08;10:33:00
Alerta;;00:00:29;10:33:00;10:33:29
Ativo;;00:03:31;10:33:29;10:37:00
Alerta;;00:02:00;10:37:00;10:39:00
Alerta;;00:00:24;10:39:00;10:39:24
Alerta;;00:03:16;10:39:24;10:42:40
Alerta;;00:00:36;10:42:40;10:43:16
AMMD;;00:00:05;10:43:16;10:43:21
AMMD;;00:00:06;10:43:21;10:43:27
Alerta;;00:00:17;10:43:27;10:43:44
QMME;;00:00:16;10:43:44;10:44:00
QPC;;00:14:50;10:44:00;10:58:50
Alerta;;00:01:15;10:58:50;11:00:05
Alerta;;00:05:08;11:00:05;11:05:13
QMMD;;00:00:05;11:05:13;11:05:18
QMMD;;00:00:07;11:05:18;11:05:25
Quieto;;00:01:36;11:05:25;11:07:01
QMME;;00:00:10;11:07:01;11:07:11
QPC;;00:09:51;11:07:11;11:17:02
Alerta;;00:02:31;11:17:02;11:19:33
Ativo;;00:00:22;11:19:33;11:19:55
