Alert;00:01:04;;06:53:56;06:55:00
Active;00:03:41;;06:55:00;06:58:41
Alert;00:02:19;;06:58:41;07:01:00
QOP;00:03:13;;07:01:00;07:04:13
QHH;00:00:07;;07:04:13;07:04:20
QOP;00:00:43;;07:04:20;07:05:03
QHH;00:00:12;;07:05:03;07:05:15
QOP;00:02:46;;07:05:15;07:08:01
QHH;00:00:04;;07:08:01;07:08:05
QOP;00:00:24;;07:08:05;07:08:29
Alert;00:01:30;;07:08:29;07:09:59
QOP;00:00:21;;07:09:59;07:10:20
QHH;00:00:03;;07:10:20;07:10:23
QOP;00:00:30;;07:10:23;07:10:53
QHH;00:00:02;;07:10:53;07:10:55
QOP;00:00:46;;07:10:55;07:11:41
QHH;00:00:03;;07:11:41;07:11:44
QOP;00:00:01;;07:11:44;07:11:45
QHH;00:00:18;;07:11:45;07:12:03
QOP;00:03:04;;07:12:03;07:15:07
QHH;00:00:04;;07:15:07;07:15:11
QOP;00:04:15;;07:15:11;07:19:26
QHH;00:00:04;;07:19:26;07:19:30
Alert;00:02:20;;07:19:30;07:21:50
QOP;00:07:41;;07:21:50;07:29:31
REM-like;00:00:26;;07:29:31;07:29:57
QOP;00:00:05;;07:29:57;07:30:02
Alert;00:00:58;;07:30:02;07:31:00
QOP;00:04:08;;07:31:00;07:35:08
QOP;00:00:11;;07:35:08;07:35:19
QOP;00:17:52;;07:35:19;07:53:11
QHH;00:00:05;;07:53:11;07:53:16
QOP;00:05:08;;07:53:16;07:58:24
REM-like;00:00:41;;07:58:24;07:59:05
Alert;00:00:53;;07:59:05;07:59:58
QOP;00:01:04;;07:59:58;08:01:02
Alert;00:00:29;;08:01:02;08:01:31
Alert;00:03:46;;08:01:31;08:05:17
QHH;00:00:04;;08:05:17;08:05:21
QOP;00:00:54;;08:05:21;08:06:15
QHH;00:00:10;;08:06:15;08:06:25
QOP;00:00:23;;08:06:25;08:06:48
QHH;00:00:17;;08:06:48;08:07:05
QOP;00:01:05;;08:07:05;08:08:10
QHH;00:00:02;;08:08:10;08:08:12
QOP;00:01:15;;08:08:12;08:09:27
QHH;00:00:01;;08:09:27;08:09:28
QOP;00:01:13;;08:09:28;08:10:41
REM-likeE;00:00:33;;08:10:41;08:11:14
Alert;00:03:56;;08:11:14;08:15:10
QHH;00:00:04;;08:15:10;08:15:14
QOP;00:00:35;;08:15:14;08:15:49
QHH;00:00:12;;08:15:49;08:16:01
Alert;00:01:24;;08:16:01;08:17:25
Alert;00:00:36;;08:17:25;08:18:01
QOP;00:04:58;;08:18:01;08:22:59
Alert;00:01:21;;08:22:59;08:24:20
QOP;00:03:20;;08:24:20;08:27:40
QHH;00:00:14;;08:27:40;08:27:54
QOP;00:04:19;;08:27:54;08:32:13
QCP;00:07:32;;08:32:13;08:39:45
REM-like;00:00:34;;08:39:45;08:40:19
Alert;00:00:35;;08:40:19;08:40:54
QOP;00:04:40;;08:40:54;08:45:34
QCP;00:07:11;;08:45:34;08:52:45
QHH;00:00:02;;08:52:45;08:52:47
QCP;00:00:08;;08:52:47;08:52:55
QCP;00:19:38;;08:52:55;09:12:33
REM-like;00:00:43;;09:12:33;09:13:16
QOP;00:00:10;;09:13:16;09:13:26
Alert;00:01:34;;09:13:26;09:15:00
Alert;00:05:00;;09:15:00;09:20:00
QOP;00:06:55;;09:20:00;09:26:55
QHH;00:00:11;;09:26:55;09:27:06
QOP;00:05:40;;09:27:06;09:32:46
QHH;00:00:11;;09:32:46;09:32:57
QOP;00:00:49;;09:32:57;09:33:46
QHH;00:00:04;;09:33:46;09:33:50
QCP;00:12:36;;09:33:50;09:46:26
REM-like;00:00:44;;09:46:26;09:47:10
Alert;00:00:27;;09:47:10;09:47:37
Alert;00:01:29;;09:47:37;09:49:06
Alert;00:04:18;;09:49:06;09:53:24
QHH;00:00:07;;09:53:24;09:53:31
Alert;00:02:05;;09:53:31;09:55:36
QHH;00:00:12;;09:55:36;09:55:48
Alert;00:02:00;;09:55:48;09:57:48
Active;00:01:54;;09:57:48;09:59:42
Alert;00:01:42;;09:59:42;10:01:24
QHH;00:00:03;;10:01:24;10:01:27
Active;00:16:33;;10:01:27;10:18:00
Alert;00:03:43;;10:18:00;10:21:43
QHH;00:00:03;;10:21:43;10:21:46
QOP;00:02:53;;10:21:46;10:24:39
QHH;00:00:07;;10:24:39;10:24:46
Alert;00:01:54;;10:24:46;10:26:40
QHH;00:00:11;;10:26:40;10:26:51
Alert;00:08:36;;10:26:51;10:35:27
QHH;00:00:04;;10:35:27;10:35:31
QOP;00:00:04;;10:35:31;10:35:35
QHH;00:00:07;;10:35:35;10:35:42
QOP;00:04:06;;10:35:42;10:39:48
QHH;00:00:03;;10:39:48;10:39:51
QOP;00:01:39;;10:39:51;10:41:30
QHH;00:00:10;;10:41:30;10:41:40
QOP;00:04:58;;10:41:40;10:46:38
Alert;00:03:22;;10:46:38;10:50:00
QOP;00:02:31;;10:50:00;10:52:31
QHH;00:00:08;;10:52:31;10:52:39
QHH;00:00:05;;10:52:39;10:52:44
QCP;00:15:57;;10:52:44;11:08:41
REM-like;00:00:25;;11:08:41;11:09:06
Alert;00:01:44;;11:09:06;11:10:50
Alert;00:01:00;;11:10:50;11:11:50
Active;00:04:00;;11:11:50;11:15:50
Alert;00:02:10;;11:15:50;11:18:00
Active;00:03:30;;11:18:00;11:21:30
Alert;00:03:10;;11:21:30;11:24:40
QOP;00:00:09;;11:24:40;11:24:49
QHH;00:00:03;;11:24:49;11:24:52
QOP;00:00:13;;11:24:52;11:25:05
QHH;00:00:10;;11:25:05;11:25:15
QOP;00:01:02;;11:25:15;11:26:17
Alert;00:00:47;;11:26:17;11:27:04
QHH;00:00:05;;11:27:04;11:27:09
Alert;00:01:41;;11:27:09;11:28:50
QOP;00:00:23;;11:28:50;11:29:13
QHH;00:00:11;;11:29:13;11:29:24
QOP;00:08:51;;11:29:24;11:38:15
QHH;00:00:05;;11:38:15;11:38:20
QOP;00:04:50;;11:38:20;11:43:10
QHH;00:00:06;;11:43:10;11:43:16
QOP;00:12:55;;11:43:16;11:56:11
QHH;00:00:08;;11:56:11;11:56:19
QOP;00:01:16;;11:56:19;11:57:35
QHH;00:00:10;;11:57:35;11:57:45
QCP;00:09:42;;11:57:45;12:07:27
REM-like;00:00:43;;12:07:27;12:08:10
QOP;00:07:59;;12:08:10;12:16:09
