Quieto;00:02:05;;;05:12:00;05:14:05
Ativo;00:01:10;;;05:14:05;05:15:15
Alerta;00:01:35;;;05:15:15;05:16:50
Ativo;00:02:55;;;05:16:50;05:19:45
Quieto;00:05:12;;;05:19:45;05:24:57
Alerta;00:00:33;;;05:24:57;05:25:30
Quieto;00:03:55;;;05:25:30;05:29:25
Alerta;00:01:10;;;05:29:25;05:30:35
QPC;00:41:10;;;05:30:35;06:11:45
REM;00:00:24;;;06:11:45;06:12:09
Alerta;00:00:36;;;06:12:09;06:12:45
QPC;00:50:42;;;06:12:45;07:03:27
Quieto;00:00:44;;;07:03:27;07:04:11
Alerta;00:04:19;;;07:04:11;07:08:30
AMMD;00:00:34;;;07:08:30;07:09:04
Alerta;00:02:45;;;07:09:04;07:11:49
AMME;00:00:10;;;07:11:49;07:11:59
Quieto;00:05:02;;;07:11:59;07:17:01
Quieto;00:02:20;;;07:17:01;07:19:21
QMMD;00:00:24;;;07:19:21;07:19:45
Quieto;00:00:30;;;07:19:45;07:20:15
QMME;00:10:11;;;07:20:15;07:30:26
Alerta;00:01:34;;;07:30:26;07:32:00
QPC;00:03:58;;;07:32:00;07:35:58
Alerta;00:00:24;;;07:35:58;07:36:22
QPC;00:15:04;;;07:36:22;07:51:26
REM;00:00:17;;;07:51:26;07:51:43
Alerta;00:01:04;;;07:51:43;07:52:47
Quieto;00:10:01;;;07:52:47;08:02:48
Alerta;00:00:18;;;08:02:48;08:03:06
Quieto;00:05:19;;;08:03:06;08:08:25
QMME;00:00:14;;;08:08:25;08:08:39
Alerta;00:00:51;;;08:08:39;08:09:30
Quieto;00:06:59;;;08:09:30;08:16:29
Alerta;00:02:01;;;08:16:29;08:18:30
QPC;00:04:36;;;08:18:30;08:23:06
Alerta;00:00:54;;;08:23:06;08:24:00
QPC;00:22:58;;;08:24:00;08:46:58
REM;00:00:27;;;08:46:58;08:47:25
Alerta;00:01:25;;;08:47:25;08:48:50
QPC;00:15:46;;;08:48:50;09:04:36
Alerta;00:02:34;;;09:04:36;09:07:10
Quieto;00:05:56;;;09:07:10;09:13:06
Ativo;00:00:39;;;09:13:06;09:13:45
Alerta;00:03:15;;;09:13:45;09:17:00
Ativo;00:02:18;;;09:17:00;09:19:18
Alerta;00:01:42;;;09:19:18;09:21:00
QPC;00:15:02;;;09:21:00;09:36:02
Alerta;00:03:54;;;09:36:02;09:39:56
QPC;00:05:49;;;09:39:56;09:45:45
Alerta;00:02:30;;;09:45:45;09:48:15
QPC;00:00:25;;;09:48:15;09:48:40
Alerta;;;09:48:40;09:48:54
REM;00:00:35;;;09:48:54;09:49:29
Alerta;00:00:11;;;09:49:29;09:49:40
QPC;00:19:50;;;09:49:40;10:09:30
