Ativo;00:03:15;;;;15:01:53;15:05:08
Alerta;00:03:33;;;;15:05:08;15:08:41
Alerta;00:07:25;;;;15:08:41;15:16:06
AMME;00:00:13;;;;15:16:06;15:16:19
Alerta;00:06:50;;;;15:16:19;15:23:09
Alerta;00:06:06;;;;15:23:09;15:29:15
Alerta;00:00:14;;;;15:29:15;15:29:29
Quieto;00:25:38;;;;15:29:29;15:55:07
Alerta;00:00:16;;;;15:55:07;15:55:23
Quieto;00:03:31;;;;15:55:23;15:58:54
REM;00:00:16;;;;15:58:54;15:59:10
Alerta;00:02:20;;;;15:59:10;16:01:30
Ativo;00:01:45;;;;16:01:30;16:03:15
Alerta;00:04:14;;;;16:03:15;16:07:29
Alerta;00:04:50;;;;16:07:29;16:12:19
Alerta;00:14:26;;;;16:12:19;16:26:45
QPCN;00:08:51;;;;16:26:45;16:35:36
Alerta;00:01:23;;;;16:35:36;16:36:59
Alerta;00:02:59;;;;16:36:59;16:39:58
AMME;00:00:08;;;;16:39:58;16:40:06
Quieto;00:07:14;;;;16:40:06;16:47:20
Alerta;00:00:38;;;;16:47:20;16:47:58
Ativo;00:02:10;;;;16:47:58;16:50:08
Alerta;00:10:07;;;;16:50:08;17:00:15
AMME;00:00:14;;;;17:00:15;17:00:29
Alerta;00:05:22;;;;17:00:29;17:05:51
Ativo;00:01:26;;;;17:05:51;17:07:17
Quieto;00:17:17;;;;17:07:17;17:24:34
Alerta;00:02:06;;;;17:24:34;17:26:40
Alerta;00:02:31;;;;17:26:40;17:29:11
Ativo;00:01:21;;;;17:29:11;17:30:32
QPCN;00:05:14;;;;17:30:32;17:35:46
QMMD;00:00:19;;;;17:35:46;17:36:05
QPCN;00:06:07;;;;17:36:05;17:42:12
REM;00:00:36;;;;17:42:12;17:42:48
Quieto;00:18:00;;;;17:42:48;18:00:48
QMME;00:00:09;;;;18:00:48;18:00:57
Quieto;00:02:48;;;;18:00:57;18:03:45
QMMD;00:00:17;;;;18:03:45;18:04:02
Ativo;00:01:27;;;;18:04:02;18:05:29
Alerta;00:02:09;;;;18:05:29;18:07:38
Ativo;00:02:48;;;;18:07:38;18:10:26
Alerta;00:02:26;;;;18:10:26;18:12:52
