Quieto/PC;05:50:00;05:55:40
Quieto/MME;05:55:40;05:55:47
QOP;05:55:47;06:05:51
Alert;06:05:51;06:09:55
QOP;06:09:55;06:10:09
Quieto/MMD;06:10:09;06:10:16
Quieto/PC;06:10:16;06:20:21
Alert;06:20:21;06:21:36
Active;06:21:36;06:23:40
Alert;06:23:40;06:52:20
Alerta/MMD;06:52:20;06:52:38
Alert;06:52:38;06:57:16
Alerta/MME;06:57:16;06:57:29
Alert;06:57:29;06:59:21
Alerta/MME;06:59:21;06:59:31
Alert;06:59:31;07:55:05
Alerta/MMD;07:55:05;07:55:14
Alert;07:55:14;08:15:05
QOP;08:15:05;08:27:05
Alert;08:27:05;08:37:15
Active;08:37:15;08:38:19
Alert;08:38:19;09:21:05
QOP;09:21:05;09:37:04
Alert;09:37:04;09:40:01
Quieto/PC;09:40:01;09:45:12
REM-like;09:45:12;09:45:38
Quieto/PC;09:45:38;09:47:25
Quieto/MMD;09:47:25;09:47:40
Quieto/PC;09:47:40;09:51:10
Quieto/MME;09:51:10;09:51:20
Quieto/PC;09:51:20;09:53:32
Quieto/MME;09:53:32;09:53:53
Quieto/PC;09:53:53;09:56:03
Quieto/MME;09:56:03;09:56:20
Quieto/PC;09:56:20;10:03:11
Alert;10:03:11;10:03:34
Quieto/PC;10:03:34;10:04:18
Quieto/MMD;10:04:18;10:04:23
Quieto/PC;10:04:23;10:05:44
Quieto/MMD;10:05:44;10:06:00
Quieto/PC;10:06:00;10:07:04
Alert;10:07:04;10:41:26
Alerta/MMD;10:41:26;10:41:40
Alert;10:41:40;11:47:54
Alerta/MME;11:47:54;11:48:28
Alert;11:48:28;12:12:16
Quieto/MMD;12:12:16;12:12:29
Alert;12:12:29;12:15:40
Active;12:15:40;12:16:11
Alert;12:16:11;12:27:00
Active;12:27:00;12:37:00
QOP;12:37:00;12:41:40
Active;12:41:40;12:42:30
Alert;12:42:30;12:43:36
Alerta/MMD;12:43:36;12:43:38
Alert;12:43:38;12:44:30
QOP;12:44:30;12:48:25
Alert;12:48:25;12:50:35
QOP;12:50:35;12:52:30
Quieto/PC;12:52:30;12:53:30
Alert;12:53:30;12:55:00
QOP;12:55:00;12:55:24
Quieto/MME;12:55:24;12:55:30
Quieto/PC;12:55:30;12:59:58
Quieto/MMD;12:59:58;13:00:07
Quieto/PC;13:00:07;13:01:30
Alert;13:01:30;13:04:00
Quieto/PC;13:04:00;13:24:14
REM-like;13:24:14;13:24:28
QOP;13:24:28;13:24:39
Alert;13:24:39;13:25:02
Quieto/PC;13:25:02;13:37:39
Quieto/MME;13:37:39;13:37:48
Quieto/PC;13:37:48;13:40:48
Quieto/MMD;13:40:48;13:40:58
Quieto/PC;13:40:58;13:52:47
REM-like;13:52:47;13:53:05
Alert;13:53:05;13:53:43
QOP;13:53:43;13:54:23
Quieto/PC;13:54:23;14:07:16
Alert;14:07:16;14:12:37
QOP;14:12:37;14:13:59
Quieto/MME;14:13:59;14:14:09
QOP;14:14:09;14:14:46
Alert;14:14:46;14:16:58
QOP;14:16:58;14:18:43
Quieto/MMD;14:18:43;14:18:56
QOP;14:18:56;14:20:19
Quieto/MMD;14:20:19;14:20:44
Quieto/PC;14:20:44;14:25:01
Alerta/MME;14:25:01;14:25:15
QOP;14:25:15;14:32:07
Quieto/PC;14:32:07;14:36:12
Alert;14:36:12;14:38:11
QOP;14:38:11;14:45:07
Alert;14:45:07;14:46:54
Quieto/PC;14:46:54;14:51:42
Quieto/MME;14:51:42;14:51:56
Quieto/PC;14:51:56;14:57:25
REM-like;14:57:25;14:57:46
Alert;14:57:46;14:58:12
QOP;14:58:12;15:02:24
Quieto/MMD;15:02:24;15:02:28
QOP;15:02:28;15:07:22
Quieto/PC;15:07:22;15:14:21
QOP;15:14:21;15:14:34
Alert;15:14:34;15:18:41
Quieto/PC;15:18:41;15:24:37
REM-like;15:24:37;15:24:56
Alert;15:24:56;15:26:14
Quieto/PC;15:26:14;15:27:14
Quieto/MME;15:27:14;15:27:27
Quieto/PC;15:27:27;15:29:57
Quieto/MMD;15:29:57;15:30:11
Quieto/PC;15:30:11;15:31:49
Alert;15:31:49;15:39:34
Quieto/PC;15:39:34;15:57:40
Alert;15:57:40;16:00:38
Quieto/PC;16:00:38;16:14:40
Alert;16:14:40;16:15:40
Quieto/PC;16:15:40;16:33:40
Alert;16:33:40;16:35:40
Quieto/PC;16:35:40;16:52:12
REM-like;16:52:12;16:52:33
QOP;16:52:33;16:56:32
Alert;16:56:32;16:57:58
